theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,slmin,t_slmin_c,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,r8_a10xm20_trig,r8_a10xm20_t_c,r8_a10xm20_gx,r8_a10xm30_trig,r8_a10xm30_t_c,r8_a10xm30_gx,dv20_trig,dv20_t_c,dv20_gx,dv30_trig,dv30_t_c,dv30_gx,dv40_trig,dv40_t_c,dv40_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,0,1,fallback,0.1,-23.12,-39.12,19.04,396,42.17,23.12,566,0.7,2.625,0.181,0.1257,2,0.1273,536,0.8505,0.0936,191,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.3556,83.67,2,77893
80.0,0,-1,confirm,0.1,-15.0,-31.0,25.9,3235,40.9,62.72,3550,0.911,0.622,0.29,-0.4528,2,-0.1158,11,0.3359,-0.5163,2935,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,1,892,-6.82,1,1579,-21.81,1,2097,-14.32,0.8488,42.09,2,78459
80.0,0,1,confirm,0.1,-68.07,-84.07,12.25,174,80.32,68.07,2154,0.081,1.161,0.092,0.4563,2,0.4605,8,0.2444,0.2424,2128,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.243,41.01,2,82009
80.0,0,-1,fallback,0.1,58.26,42.26,98.69,3535,40.44,21.93,3597,0.983,2.797,0.113,0.1494,2,0.166,3039,0.6485,-0.2457,29,1,3582,67.16,1,3582,67.16,0,-1,,0,-1,,0,-1,,0,-1,,1,0,-0.0,0,-1,,0,-1,,0.059,80.22,2,84163
80.0,0,1,confirm,0.1,51.7,35.7,93.06,9112,41.36,46.19,10025,0.909,2.353,0.133,-0.1613,2,0.1254,4344,0.7412,-0.2273,9463,1,5971,40.67,1,5971,40.67,0,-1,,1,6032,43.43,1,8980,81.35,0,-1,,1,8980,81.35,0,-1,,0,-1,,0.3203,40.84,2,87760
80.0,0,-1,confirm,0.1,-64.47,-80.47,16.46,156,80.93,64.47,749,0.208,1.056,0.201,0.1721,2,0.192,306,0.3021,0.1224,544,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.1522,40.98,2,97785
80.0,0,1,fallback,0.1,-25.89,-41.89,14.99,260,40.89,25.89,624,0.417,0.838,0.244,-0.1317,2,-0.1081,318,0.1011,-0.1507,489,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.1245,81.06,2,98534
80.0,0,-1,confirm,0.1,13.66,-2.34,54.66,8608,40.99,23.23,9422,0.914,0.568,0.11,0.121,2,0.1918,5646,0.8252,-0.0211,4006,1,2037,-16.4,1,2037,-16.4,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.0629,40.82,2,99158
80.0,0,1,confirm,0.1,49.26,33.26,90.31,2503,41.05,17.79,4328,0.578,1.099,0.215,-0.2357,3,-0.1042,63,0.2124,-0.4131,4328,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,1,459,-14.37,1,1655,8.21,1,4218,71.15,0.1289,41.22,3,108580
80.0,0,-1,confirm,0.1,63.99,47.99,104.84,5914,40.85,21.79,6885,0.859,0.479,0.065,-0.074,3,0.4494,1739,0.7033,-0.1134,6272,1,4853,66.72,1,4853,66.72,1,4853,66.72,1,6202,92.59,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.1081,40.68,3,112908
80.0,0,1,confirm,0.1,43.85,27.85,84.96,7949,41.11,46.59,8789,0.904,0.979,0.293,0.172,3,0.3598,3805,0.8046,0.0559,7707,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.6677,41.28,3,119793
80.0,0,-1,confirm,0.1,-64.12,-80.12,17.74,379,81.86,64.12,3267,0.116,8.307,0.182,0.0764,3,0.2943,1016,0.7639,-0.0738,148,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.4168,40.76,3,128582
80.0,0,1,fallback,0.1,28.47,12.47,69.14,1700,40.67,7.46,3252,0.523,1.324,0.104,0.1408,3,0.1743,3094,0.5506,-0.0469,457,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.7045,82.01,3,131849
80.0,0,-1,confirm,0.1,4.06,-11.94,44.61,4146,40.55,37.85,9296,0.446,3.975,0.374,-0.1448,3,0.211,7224,0.8738,-0.2238,1813,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,1,812,-14.87,0,-1,,0,-1,,0.4987,40.39,3,135101
