theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,0,1,confirm,1.0,2.67,-13.33,45.34,2115,42.67,18.67,2517,0.84,3.088,0.056,0.2095,13,0.4378,518,0.9507,1,660,14.67,1,660,14.67,1,660,14.67,1,862,-14.67,0.2939,40.17,12,44774
80.0,0,-1,confirm,1.0,-2.67,-18.67,37.33,1175,39.99,47.99,1450,0.81,0.8,0.159,0.1907,13,0.2805,897,0.8874,1,138,-17.33,0,-1,,0,-1,,0,-1,,0.2,42.48,13,47291
80.0,0,1,confirm,1.0,-66.64,-82.64,14.66,36,81.3,66.64,639,0.056,0.892,0.015,-0.0673,13,0.2003,209,0.7958,1,88,2.67,1,580,-43.98,1,580,-43.98,0,-1,,0.402,40.14,13,48741
80.0,0,-1,fallback,1.0,-22.81,-38.81,18.78,362,41.59,22.81,488,0.742,0.47,0.1,0.366,13,0.3844,435,0.669,0,-1,,0,-1,,0,-1,,0,-1,,0.5351,81.18,13,49380
80.0,0,1,confirm,1.0,-64.26,-80.26,16.06,14,80.32,64.26,878,0.016,0.581,0.011,-0.3376,13,0.0418,585,0.7841,0,-1,,0,-1,,0,-1,,0,-1,,0.0718,41.67,13,49868
80.0,0,-1,fallback,1.0,-40.42,-56.42,-0.0,0,40.42,40.42,315,0.0,1.063,0.104,0.1943,14,0.1977,1,0.7568,1,76,-12.13,1,76,-12.13,0,-1,,1,76,-12.13,0.5034,80.19,14,50746
80.0,0,1,confirm,1.0,-75.15,-91.15,5.37,254,80.52,75.15,629,0.404,0.378,0.062,0.3677,14,0.4123,350,0.5313,1,430,-13.42,1,430,-13.42,1,430,-13.42,1,430,-13.42,0.2192,40.42,14,51061
80.0,0,-1,fallback,1.0,-25.69,-41.69,14.87,426,40.56,28.39,513,0.83,0.413,0.092,0.309,14,0.3376,391,0.6957,0,-1,,0,-1,,0,-1,,0,-1,,0.0961,80.47,14,51690
80.0,0,1,confirm,1.0,0.0,-16.0,40.46,571,40.46,40.46,748,0.763,0.463,0.101,0.346,14,0.3965,460,0.8336,1,264,-39.11,1,264,-39.11,0,-1,,0,-1,,0.0761,40.62,14,52203
80.0,0,-1,confirm,1.0,12.14,-3.86,55.29,2321,43.16,44.5,2664,0.871,2.052,0.101,0.247,15,0.3465,509,0.8628,1,2071,21.58,1,2071,21.58,1,2071,21.58,0,-1,,0.1412,40.3,14,52951
80.0,0,1,confirm,1.0,-4.05,-20.05,36.46,205,40.51,4.05,316,0.649,0.257,0.115,-0.0237,15,0.1051,273,0.7959,1,312,2.7,1,312,2.7,0,-1,,0,-1,,0.8178,43.4,15,55615
80.0,0,-1,confirm,1.0,49.98,33.98,90.5,568,40.52,0.0,678,0.838,0.791,0.195,0.078,15,0.0845,577,0.6557,1,621,68.89,0,-1,,0,-1,,0,-1,,0.1914,40.36,15,55931
80.0,0,1,confirm,1.0,-73.31,-89.31,6.79,31,80.1,73.31,1107,0.028,0.731,0.01,-0.1965,15,0.0764,6,0.628,1,13,-1.36,0,-1,,0,-1,,0,-1,,0.3532,40.89,15,56609
80.0,0,-1,fallback,1.0,-32.82,-48.82,10.94,33,43.76,32.82,189,0.175,1.505,0.093,0.2819,16,0.2959,100,0.438,0,-1,,0,-1,,0,-1,,0,-1,,0.3958,80.04,16,57716
80.0,0,1,confirm,1.0,-64.07,-80.07,16.36,25,80.43,64.07,825,0.03,0.942,0.004,-0.1854,16,0.1179,784,0.7396,1,825,-64.07,1,825,-64.07,0,-1,,0,-1,,0.288,43.81,16,57905
80.0,0,-1,fallback,1.0,69.97,53.97,112.5,489,42.53,10.98,564,0.867,1.334,0.153,0.1654,16,0.3062,181,0.767,0,-1,,0,-1,,0,-1,,0,-1,,0.6165,80.29,16,58730
80.0,0,1,confirm,1.0,62.17,46.17,105.0,1961,42.83,-0.0,2069,0.948,0.744,0.119,0.1001,17,0.3357,599,0.8798,1,654,34.54,1,654,34.54,1,654,34.54,1,659,29.01,0.2064,43.01,16,59294
80.0,0,-1,confirm,1.0,19.22,3.22,59.04,278,39.82,5.49,492,0.565,0.456,0.127,0.0046,17,0.1845,492,0.6895,0,-1,,0,-1,,0,-1,,0,-1,,0.4681,42.38,17,61363
80.0,0,1,confirm,1.0,151.33,135.33,192.6,1440,41.27,2.75,1801,0.8,1.074,0.202,0.15,17,0.2326,1111,0.8868,1,577,50.9,1,577,50.9,0,-1,,0,-1,,0.2936,40.06,17,61855
80.0,0,-1,confirm,1.0,67.76,51.76,108.42,761,40.66,8.13,1260,0.604,0.628,0.215,0.0234,17,0.1348,357,0.7684,1,413,40.66,1,413,40.66,0,-1,,1,438,39.3,0.1742,40.49,17,63656
80.0,0,1,confirm,1.0,-55.94,-71.94,25.92,448,81.87,55.94,887,0.505,1.478,0.092,0.1601,18,0.2731,297,0.8803,0,-1,,0,-1,,0,-1,,0,-1,,0.6345,41.1,18,64916
80.0,0,-1,fallback,1.0,17.84,1.84,57.63,1162,39.79,13.72,1287,0.903,2.27,0.079,0.0919,18,0.2134,1111,0.5782,1,99,-5.49,1,99,-5.49,0,-1,,0,-1,,0.2254,81.65,18,65803
