theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,1,1,confirm,1.0,-64.18,-80.18,15.38,139,79.56,64.18,2217,0.063,0.674,0.194,0.244,20,0.4151,1112,0.8732,1,408,-28.09,1,408,-28.09,1,408,-28.09,1,408,-28.09,0.2859,40.15,20,72689
80.0,1,-1,confirm,1.0,6.89,-9.11,48.78,401,41.89,16.05,817,0.491,7.091,0.199,0.6843,20,0.7344,399,0.8879,0,-1,,0,-1,,0,-1,,0,-1,,0.4901,79.44,20,74906
80.0,1,1,confirm,1.0,61.84,45.84,103.21,2058,41.36,1.68,2203,0.934,4.419,0.153,0.2863,21,0.3195,2020,0.8071,1,1000,80.09,1,1000,80.09,1,1000,80.09,0,-1,,0.7969,42.09,21,75723
80.0,1,-1,confirm,1.0,-60.41,-76.41,23.06,170,83.47,60.41,639,0.266,0.641,0.123,-0.1353,21,0.0581,496,0.6548,1,540,-24.91,0,-1,,0,-1,,0,-1,,0.4566,40.94,21,77926
80.0,1,1,fallback,1.0,-38.07,-54.07,2.07,17,40.14,38.07,255,0.067,1.635,0.148,0.3528,21,0.3772,91,0.6207,0,-1,,0,-1,,0,-1,,0,-1,,0.4827,83.67,21,78565
80.0,1,-1,confirm,1.0,49.13,33.13,90.2,1677,41.07,36.35,1898,0.884,1.83,0.152,0.2902,22,0.3629,1306,0.8908,1,445,-20.17,0,-1,,0,-1,,0,-1,,0.3015,40.14,21,78820
80.0,1,1,confirm,1.0,-79.29,-95.29,0.71,2,79.99,79.29,2231,0.001,0.488,0.01,-0.0794,22,0.1059,1977,0.7193,1,531,-16.45,1,531,-16.45,0,-1,,1,723,-37.67,0.5201,41.44,22,80718
80.0,1,-1,fallback,1.0,12.83,-3.17,53.56,509,40.73,1.26,614,0.829,0.586,0.149,0.2609,23,0.2989,64,0.6198,0,-1,,0,-1,,0,-1,,0,-1,,0.21,79.99,23,82949
80.0,1,1,confirm,1.0,-71.46,-87.46,8.75,76,80.21,71.46,2172,0.035,0.509,0.019,-0.0165,23,0.1847,495,0.7315,1,584,-18.76,1,584,-18.76,0,-1,,1,676,-42.17,0.5329,40.95,23,83563
80.0,1,-1,fallback,1.0,-21.82,-37.82,18.39,387,40.21,21.82,697,0.555,2.114,0.105,0.2147,23,0.2863,552,0.7099,0,-1,,0,-1,,0,-1,,0,-1,,0.638,80.14,23,85735
80.0,1,1,confirm,1.0,-68.33,-84.33,12.01,103,80.34,68.33,1500,0.069,0.825,0.098,0.0455,0,0.2822,290,0.8992,1,584,-10.1,1,584,-10.1,1,584,-10.1,1,699,2.07,0.4278,40.29,0,86432
80.0,1,-1,fallback,1.0,50.5,34.5,90.61,268,40.11,1.72,328,0.817,2.338,0.208,0.4329,0,0.479,43,0.5875,0,-1,,0,-1,,0,-1,,0,-1,,0.5502,80.25,0,87932
80.0,1,1,confirm,1.0,-49.26,-65.26,34.25,251,83.51,49.26,433,0.58,0.281,0.029,-0.2182,0,-0.098,363,0.4869,0,-1,,0,-1,,0,-1,,0,-1,,0.5415,40.47,0,88260
80.0,1,-1,fallback,1.0,-9.32,-25.32,31.45,75,40.77,9.32,279,0.269,1.759,0.078,0.2184,0,0.2617,32,0.7102,0,-1,,0,-1,,0,-1,,0,-1,,0.4869,83.22,0,88693
80.0,1,1,confirm,1.0,9.22,-6.78,49.86,115,40.63,-0.0,172,0.669,0.727,0.009,-0.2004,0,-0.1803,55,0.6226,0,-1,,0,-1,,0,-1,,0,-1,,0.2741,40.9,0,88972
80.0,1,-1,confirm,1.0,17.92,1.92,59.25,497,41.33,3.41,532,0.934,3.159,0.101,0.401,0,0.401,497,0.7527,0,-1,,0,-1,,0,-1,,0,-1,,0.394,40.43,0,89144
80.0,1,1,confirm,1.0,-49.94,-65.94,34.74,421,84.68,49.94,1293,0.326,0.644,0.027,-0.1339,1,0.2079,728,0.7601,1,1062,-20.36,1,1062,-20.36,1,1062,-20.36,1,1228,-34.86,0.6482,41.58,0,89676
80.0,1,-1,fallback,1.0,20.16,4.16,61.42,440,41.25,20.52,593,0.742,1.443,0.099,0.3277,1,0.3638,50,0.6703,0,-1,,0,-1,,0,-1,,0,-1,,0.4603,84.39,1,90969
80.0,1,1,confirm,1.0,8.29,-7.71,51.26,561,42.97,33.7,697,0.805,0.725,0.082,0.2206,1,0.223,565,0.5893,0,-1,,0,-1,,0,-1,,0,-1,,0.1513,41.51,1,91562
80.0,1,-1,confirm,1.0,198.57,182.57,238.99,1634,40.42,12.32,1662,0.983,0.921,0.137,0.3569,2,0.4705,1071,0.6934,1,534,29.22,0,-1,,0,-1,,0,-1,,0.5605,42.75,1,92259
80.0,1,1,confirm,1.0,88.56,72.56,130.19,162,41.63,1.29,231,0.701,1.538,0.023,-0.2564,2,-0.2483,148,0.2328,0,-1,,0,-1,,0,-1,,0,-1,,0.2969,41.41,2,93921
80.0,1,-1,confirm,1.0,-48.6,-64.6,34.28,59,82.89,48.6,308,0.192,0.874,0.021,0.2972,2,0.3197,95,0.6789,0,-1,,0,-1,,0,-1,,0,-1,,0.0516,41.1,2,94152
80.0,1,1,fallback,1.0,-41.77,-57.77,0.0,0,41.77,41.77,63,0.0,0.55,0.12,-0.0435,2,-0.0264,27,0.6084,0,-1,,0,-1,,0,-1,,0,-1,,0.6789,83.17,2,94460
80.0,1,-1,confirm,1.0,-70.05,-86.05,11.19,16,81.24,70.05,314,0.051,1.577,0.031,0.1654,2,0.2138,121,0.8449,0,-1,,0,-1,,0,-1,,0,-1,,0.6005,41.77,2,94523
80.0,1,1,fallback,1.0,81.55,65.55,123.44,772,41.89,11.34,886,0.871,1.298,0.117,0.012,2,0.0727,538,0.6534,1,568,48.37,0,-1,,0,-1,,0,-1,,0.8038,81.33,2,94837
80.0,1,-1,confirm,1.0,-63.14,-79.14,17.63,37,80.77,63.14,789,0.047,0.818,0.035,0.1821,2,0.3042,245,0.8378,1,789,-63.14,1,789,-63.14,1,789,-63.14,0,-1,,0.14,41.38,2,95723
80.0,1,1,fallback,1.0,-34.47,-50.47,7.05,2,41.52,34.47,249,0.008,2.869,0.104,0.0922,2,0.0922,2,0.7643,1,222,-11.48,0,-1,,0,-1,,0,-1,,0.4878,80.92,2,96512
80.0,1,-1,confirm,1.0,-52.56,-68.56,31.12,417,83.68,52.56,680,0.613,0.552,0.146,0.5338,2,0.5397,410,0.8849,0,-1,,0,-1,,0,-1,,0,-1,,0.7643,41.49,2,96761
80.0,1,1,fallback,1.0,7.4,-8.6,48.93,207,41.54,5.26,481,0.43,1.377,0.167,0.0072,3,0.2118,351,0.7101,0,-1,,0,-1,,0,-1,,0,-1,,0.2561,83.94,3,97441
80.0,1,-1,confirm,1.0,-79.6,-95.6,3.09,1,82.68,79.6,1169,0.001,0.612,0.064,-0.1517,3,0.2363,978,0.7388,1,1163,-71.63,1,1163,-71.63,1,1163,-71.63,0,-1,,0.2429,41.33,3,97922
80.0,1,1,fallback,1.0,-0.35,-16.35,40.89,98,41.24,7.17,332,0.295,3.037,0.17,0.1569,3,0.2472,318,0.6237,0,-1,,0,-1,,0,-1,,0,-1,,0.4161,82.71,3,99091
