theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,1,-1,confirm,1.0,15.37,-0.63,56.68,6325,41.31,26.23,7154,0.884,1.243,0.064,0.2031,22,0.5352,5126,0.9786,1,489,-15.77,1,489,-15.77,1,489,-15.77,1,489,-15.77,0.4477,40.76,20,591677
80.0,1,1,confirm,1.0,-71.44,-87.44,8.58,869,80.02,71.44,8597,0.101,0.715,0.156,0.1736,22,0.4651,5565,0.9935,1,309,-15.32,1,309,-15.32,1,309,-15.32,1,1296,-21.62,0.696,41.54,22,598831
80.0,1,-1,fallback,1.0,-34.08,-50.08,6.26,19,40.34,34.08,366,0.052,0.813,0.198,0.5238,0,0.5238,19,0.929,0,-1,,0,-1,,0,-1,,0,-1,,0.8315,79.95,0,607428
80.0,1,1,confirm,1.0,5.51,-10.49,46.15,907,40.64,14.52,1201,0.755,0.438,0.178,0.0018,1,0.2946,451,0.858,1,785,34.52,1,785,34.52,1,785,34.52,1,968,26.26,0.6865,40.36,0,607794
80.0,1,-1,confirm,1.0,38.88,22.88,79.18,6249,40.29,27.87,7626,0.819,0.949,0.096,0.3425,2,0.7136,4041,0.9722,1,436,-25.55,1,436,-25.55,1,436,-25.55,1,612,-24.95,0.8037,40.45,1,608995
80.0,1,1,confirm,1.0,-62.91,-78.91,17.89,744,80.8,62.91,7207,0.103,3.237,0.332,0.4488,3,0.4488,744,0.9869,1,1058,-7.84,1,1058,-7.84,1,1058,-7.84,1,1080,-4.29,0.4696,40.62,3,616621
80.0,1,-1,fallback,1.0,-37.93,-53.93,2.82,142,40.75,37.93,1004,0.141,0.85,0.133,0.0444,5,0.199,513,0.9514,1,62,-11.59,1,62,-11.59,0,-1,,1,715,-23.14,0.5771,80.66,5,623828
80.0,1,1,confirm,1.0,34.49,18.49,75.51,7258,41.03,29.91,10231,0.709,1.504,0.17,-0.3897,7,0.5334,7474,0.9748,1,790,-8.31,1,790,-8.31,1,790,-8.31,1,953,-16.2,0.9286,40.76,5,624832
80.0,1,-1,confirm,1.0,82.62,66.62,122.29,3441,39.67,10.9,3689,0.933,5.981,0.284,0.5266,9,0.7178,505,0.9707,1,1354,52.64,1,1354,52.64,1,1354,52.64,1,1515,54.65,0.7878,40.72,8,635063
80.0,1,1,confirm,1.0,23.11,7.11,63.81,772,40.7,-0.0,1310,0.589,2.003,0.174,0.1046,9,0.2573,565,0.7153,1,810,62.44,1,810,62.44,1,810,62.44,1,879,45.95,0.572,40.16,9,638752
80.0,1,-1,confirm,1.0,9.65,-6.35,49.54,4717,39.89,46.25,4962,0.951,2.256,0.193,0.2157,11,0.692,106,0.9146,1,501,-30.89,1,501,-30.89,1,501,-30.89,1,583,-32.85,0.3214,40.44,9,640062
80.0,1,1,confirm,1.0,92.29,76.29,133.38,4981,41.09,35.82,5067,0.983,1.837,0.239,0.2279,12,0.4397,4320,0.8879,1,2986,-15.19,1,2986,-15.19,1,4460,-9.23,1,2986,-15.19,0.4048,40.08,11,645024
80.0,1,-1,confirm,1.0,-43.08,-59.08,37.8,3128,80.87,43.08,3718,0.841,0.65,0.043,0.2314,13,0.473,1775,0.9234,1,3311,18.75,1,3311,18.75,1,3311,18.75,1,3312,3.31,0.4522,40.55,12,650091
80.0,1,1,fallback,1.0,40.73,24.73,81.08,781,40.35,2.25,1019,0.766,1.228,0.087,0.0955,13,0.2803,20,0.6195,0,-1,,0,-1,,0,-1,,0,-1,,0.8135,81.18,13,653809
80.0,1,-1,confirm,1.0,12.14,-3.86,53.7,1634,41.56,10.61,1835,0.89,0.364,0.149,0.1215,14,0.3357,1199,0.8352,1,212,-7.12,1,747,-3.54,1,1756,29.2,0,-1,,0.0285,40.03,13,654828
80.0,1,1,confirm,1.0,3.47,-12.53,48.76,2237,45.29,49.21,2417,0.926,1.719,0.204,0.1485,15,0.3413,244,0.8885,1,435,-22.93,1,435,-22.93,1,435,-22.93,1,448,-30.65,0.3103,41.78,14,656663
80.0,1,-1,confirm,1.0,5.19,-10.81,46.67,688,41.48,8.05,903,0.762,0.772,0.093,-0.0202,15,0.28,893,0.7348,0,-1,,0,-1,,0,-1,,0,-1,,0.7256,45.07,15,659080
80.0,1,1,confirm,1.0,32.56,16.56,73.13,1601,40.57,5.8,1671,0.958,3.46,0.133,0.1482,15,0.1483,1596,0.8081,1,1666,55.89,1,1666,55.89,0,-1,,1,1666,55.89,0.4528,41.67,15,659983
80.0,1,-1,confirm,1.0,-57.46,-73.46,27.28,89,84.74,57.46,372,0.239,1.21,0.019,0.2796,15,0.3555,0,0.8138,0,-1,,0,-1,,0,-1,,0,-1,,0.6591,40.27,15,661654
80.0,1,1,fallback,1.0,-12.26,-28.26,28.31,47,40.58,12.26,429,0.11,1.691,0.099,0.0085,15,0.3309,317,0.5486,0,-1,,0,-1,,0,-1,,0,-1,,0.0498,84.98,15,662026
80.0,1,-1,confirm,1.0,36.37,20.37,77.2,1488,40.83,2.68,2020,0.737,2.966,0.17,0.1511,16,0.3028,256,0.8876,1,1080,42.84,1,1080,42.84,1,1080,42.84,1,1314,45.56,0.547,40.46,16,662455
80.0,1,1,confirm,1.0,-74.6,-90.6,5.2,25,79.79,74.6,3319,0.008,1.277,0.075,-0.1352,16,0.5526,1603,0.9757,1,416,-9.55,1,416,-9.55,1,416,-9.55,1,595,-17.53,0.8305,41.15,16,664475
80.0,1,-1,confirm,1.0,-0.5,-16.5,39.71,756,40.21,4.14,1022,0.74,0.526,0.033,0.2749,17,0.5358,655,0.9465,1,1008,2.78,1,1008,2.78,1,1008,2.78,0,-1,,0.6085,79.75,17,667794
80.0,1,1,confirm,1.0,-0.37,-16.37,40.31,1155,40.68,10.25,1857,0.622,1.683,0.195,-0.0083,18,0.1899,233,0.7929,1,413,-7.34,1,413,-7.34,0,-1,,1,697,15.71,0.1415,40.37,17,668816
80.0,1,-1,confirm,1.0,8.26,-7.74,48.81,1974,40.55,19.2,2369,0.833,3.431,0.167,0.2814,18,0.3235,1933,0.8552,1,171,-8.39,1,171,-8.39,1,2116,23.45,1,333,-5.72,0.1879,40.51,18,670673
80.0,1,1,confirm,1.0,-45.91,-61.91,34.43,2505,80.35,45.91,7983,0.314,1.029,0.242,0.5185,19,0.5738,2252,0.9696,1,484,-17.78,1,484,-17.78,1,484,-17.78,1,937,-10.35,0.291,40.75,18,673042
80.0,1,-1,fallback,1.0,31.87,15.87,75.01,4192,43.14,24.68,4817,0.87,3.451,0.163,-0.0095,22,0.5861,212,0.9489,1,602,-2.67,1,602,-2.67,1,602,-2.67,1,708,-4.87,0.6889,80.07,21,681025
80.0,1,1,confirm,1.0,120.61,104.61,162.04,11475,41.43,33.21,13300,0.863,7.874,0.252,0.3252,1,0.7132,9552,0.9554,1,1364,5.11,1,1364,5.11,1,1364,5.11,1,1367,5.11,0.2875,43.46,22,685842
80.0,1,-1,confirm,1.0,-53.96,-69.96,26.7,1330,80.66,53.96,4887,0.272,1.249,0.205,0.0934,2,0.4945,1012,0.9539,1,1253,16.39,1,1253,16.39,1,1253,16.39,1,2175,13.06,0.3661,40.77,2,699142
80.0,1,1,fallback,1.0,16.2,0.2,57.0,1457,40.8,16.2,3667,0.397,0.53,0.183,0.3294,3,0.6367,18,0.9661,1,618,-6.22,1,618,-6.22,1,618,-6.22,1,634,-12.36,0.7787,80.88,3,704029
80.0,1,-1,confirm,1.0,-80.47,-96.47,0.23,5403,80.7,80.47,22590,0.239,2.972,0.188,0.2679,6,0.7891,8999,0.9899,1,3790,-18.3,1,3790,-18.3,1,3790,-18.3,1,4497,-16.89,0.0066,40.57,4,707696
80.0,1,1,fallback,1.0,-7.35,-23.35,32.92,2465,40.27,7.56,4564,0.54,2.467,0.178,0.3074,11,0.6427,262,0.9759,1,2821,5.45,1,2821,5.45,1,2821,5.45,1,2885,7.22,0.184,80.7,10,730286
80.0,1,-1,confirm,1.0,37.98,21.98,77.97,1380,39.99,29.64,1637,0.843,2.926,0.166,0.2658,12,0.4958,0,0.9497,1,257,-22.68,1,257,-22.68,1,257,-22.68,1,446,-24.45,0.0019,40.14,12,734850
80.0,1,1,confirm,1.0,2.66,-13.34,44.23,2718,41.57,4.07,3313,0.82,1.043,0.225,0.4751,13,0.4833,2829,0.9367,1,1697,24.85,1,1697,24.85,1,1697,24.85,1,1734,22.08,0.0482,40.31,12,736487
80.0,1,-1,confirm,1.0,-67.1,-83.1,16.39,160,83.49,67.1,1426,0.112,1.857,0.178,0.1745,13,0.4783,4,0.8246,1,916,-40.66,1,916,-40.66,1,916,-40.66,0,-1,,0.6548,41.38,13,739800
80.0,1,1,fallback,1.0,-34.46,-50.46,5.92,18,40.39,34.46,621,0.029,1.042,0.125,0.0398,13,0.0539,0,0.673,1,65,-1.72,0,-1,,0,-1,,0,-1,,0.0028,83.63,13,741226
80.0,1,-1,confirm,1.0,0.03,-15.97,39.94,776,39.91,15.85,1229,0.631,0.897,0.098,0.4785,14,0.4905,736,0.9249,0,-1,,0,-1,,0,-1,,0,-1,,0.6692,40.36,14,741847
80.0,1,1,confirm,1.0,-69.7,-85.7,13.34,745,83.04,69.7,2209,0.337,1.888,0.123,0.0971,14,0.1908,1834,0.771,1,504,-6.67,1,504,-6.67,0,-1,,1,600,-18.0,0.6771,40.07,14,743076
80.0,1,-1,fallback,1.0,-43.33,-59.33,-0.0,0,43.33,43.33,387,0.0,4.287,0.245,0.3779,15,0.3779,0,0.7199,0,-1,,0,-1,,0,-1,,0,-1,,0.7309,82.93,15,745285
80.0,1,1,confirm,1.0,-70.68,-86.68,9.87,1981,80.55,70.68,7943,0.249,0.939,0.175,0.3872,15,0.4509,2021,0.9533,1,376,-11.46,1,2279,-27.38,1,2279,-27.38,1,2453,-31.52,0.7199,43.33,15,745672
80.0,1,-1,fallback,1.0,-47.04,-63.04,3.85,446,50.89,47.04,515,0.866,1.408,0.149,0.1283,17,0.3848,298,0.733,1,491,-4.17,1,491,-4.17,1,491,-4.17,1,514,-30.87,0.684,80.47,17,753615
80.0,1,1,confirm,1.0,87.98,71.98,129.18,251,41.2,4.04,330,0.761,1.929,0.243,0.3053,17,0.3094,3,0.6882,0,-1,,0,-1,,0,-1,,0,-1,,0.5284,50.91,17,754130
80.0,1,-1,confirm,1.0,-68.5,-84.5,12.53,72,81.03,68.5,1535,0.047,0.435,0.129,-0.2164,17,0.076,570,0.7322,1,579,-14.77,0,-1,,0,-1,,0,-1,,0.521,40.67,17,754460
80.0,1,1,fallback,1.0,-18.91,-34.91,21.72,151,40.63,18.91,273,0.553,1.257,0.087,0.2102,18,0.217,140,0.7342,0,-1,,0,-1,,0,-1,,0,-1,,0.3751,81.13,17,755995
80.0,1,-1,confirm,1.0,-50.15,-66.15,31.42,412,81.56,50.15,5181,0.08,0.536,0.14,0.0804,18,0.2734,5144,0.9518,1,871,1.27,1,871,1.27,1,871,1.27,1,894,-0.1,0.3917,40.54,18,756268
80.0,1,1,fallback,1.0,-26.77,-42.77,13.32,188,40.08,26.77,529,0.355,1.333,0.138,0.1985,19,0.1985,188,0.7857,0,-1,,0,-1,,0,-1,,0,-1,,0.4409,81.82,19,761449
80.0,1,-1,confirm,1.0,22.79,6.79,63.93,3984,41.15,19.19,5608,0.71,0.943,0.215,0.2232,20,0.4822,2779,0.9857,1,1376,2.15,1,1376,2.15,1,1376,2.15,1,1523,8.33,0.7857,40.03,19,761978
80.0,1,1,confirm,1.0,0.43,-15.57,40.61,10543,40.18,26.76,11643,0.906,1.112,0.195,0.738,0,0.7551,10494,0.9962,1,154,1.57,1,154,1.57,1,2826,-1.26,1,672,0.63,0.0763,41.41,21,767586
80.0,1,-1,confirm,1.0,-44.6,-60.6,36.31,3618,80.92,44.6,14636,0.247,0.905,0.323,0.3713,1,0.6806,9934,0.9886,1,433,-20.94,1,433,-20.94,1,465,-11.22,1,466,-13.74,0.5535,40.02,0,779229
80.0,1,1,fallback,1.0,-33.55,-49.55,7.19,22,40.74,33.55,2226,0.01,0.988,0.267,0.2981,4,0.2981,22,0.9378,1,505,-16.45,1,505,-16.45,1,505,-16.45,1,1127,-16.12,0.9196,81.21,4,793865
80.0,1,-1,confirm,1.0,81.07,65.07,120.93,5440,39.86,0.0,6802,0.8,1.258,0.238,0.3761,6,0.717,232,0.9653,1,828,16.3,1,828,16.3,1,828,16.3,1,828,16.3,0.6887,40.71,5,796091
80.0,1,1,confirm,1.0,42.71,26.71,83.61,4829,40.9,20.98,6268,0.77,2.744,0.267,0.2495,8,0.5196,3626,0.9576,1,518,-2.14,1,518,-2.14,1,518,-2.14,1,542,-0.88,0.4445,40.35,7,802893
80.0,1,-1,confirm,1.0,-81.88,-97.88,-0.0,0,81.88,81.88,2786,0.0,1.618,0.251,-0.1002,8,0.4612,740,0.9022,1,816,-19.68,1,816,-19.68,1,816,-19.68,1,869,-16.29,0.5824,40.56,8,809161
80.0,1,1,fallback,1.0,-29.13,-45.13,12.1,118,41.23,29.13,1696,0.07,1.838,0.329,0.4448,9,0.4587,17,0.8528,1,599,-0.16,1,599,-0.16,1,599,-0.16,1,617,-2.28,0.1129,81.88,9,811947
80.0,1,-1,confirm,1.0,60.28,44.28,100.3,13341,40.03,30.46,14375,0.928,1.526,0.085,0.0724,13,0.6835,1748,0.9774,1,440,-9.35,1,440,-9.35,1,440,-9.35,1,440,-9.35,0.4753,41.18,10,813643
80.0,1,1,confirm,1.0,34.98,18.98,75.42,2214,40.43,-0.0,2599,0.852,2.211,0.115,0.3216,14,0.4016,2187,0.8231,1,755,14.43,1,755,14.43,1,755,14.43,1,818,10.02,0.3579,40.43,14,828018
80.0,1,-1,confirm,1.0,-72.88,-88.88,10.14,365,83.02,72.88,690,0.529,0.821,0.193,0.2698,14,0.2698,365,0.7979,1,550,-44.78,1,550,-44.78,1,550,-44.78,1,557,-58.55,0.1884,40.13,14,830617
80.0,1,1,fallback,1.0,-10.16,-26.16,30.16,386,40.32,20.47,526,0.734,1.559,0.2,0.1502,15,0.4149,293,0.8754,0,-1,,0,-1,,0,-1,,0,-1,,0.4391,83.11,14,831307
80.0,1,-1,confirm,1.0,24.72,8.72,65.0,3549,40.28,73.28,3774,0.94,2.417,0.171,0.1749,16,0.3328,1870,0.8496,1,3410,38.3,1,3410,38.3,1,3410,38.3,0,-1,,0.3882,40.2,15,831833
80.0,1,1,confirm,1.0,12.23,-3.77,53.8,3559,41.57,9.72,4335,0.821,1.332,0.285,0.3515,17,0.5237,3313,0.9305,1,977,11.93,1,977,11.93,1,977,11.93,1,982,10.29,0.4915,40.54,16,835607
80.0,1,-1,confirm,1.0,29.76,13.76,69.85,12925,40.09,13.84,18195,0.71,0.886,0.199,0.343,20,0.7434,3828,0.9834,1,656,2.19,1,656,2.19,1,656,2.19,1,4204,9.11,0.5984,41.35,17,839942
80.0,1,1,confirm,1.0,68.5,52.5,109.03,62368,40.53,36.0,63711,0.979,0.891,0.175,0.0165,15,0.876,7353,0.9957,1,610,-17.47,1,610,-17.47,1,610,-17.47,1,2682,-32.67,0.056,40.38,22,858137
80.0,1,-1,confirm,1.0,-58.51,-74.51,26.1,2803,84.6,58.51,20233,0.139,0.702,0.113,0.2758,16,0.6656,6952,0.9931,1,649,0.3,1,649,0.3,1,649,0.3,1,650,-0.92,0.7033,40.09,16,921848
80.0,1,1,fallback,1.0,3.11,-12.89,45.88,59,42.77,-0.0,297,0.199,7.117,0.494,0.456,21,0.5478,0,0.9652,0,-1,,0,-1,,0,-1,,0,-1,,0.1367,84.83,21,942081
80.0,1,-1,confirm,1.0,-0.8,-16.8,41.82,34120,42.62,34.57,37773,0.903,5.51,0.48,0.6564,7,0.8255,28065,0.9912,1,564,-4.4,1,564,-4.4,1,564,-4.4,1,1538,14.49,0.4579,42.57,21,942378
80.0,1,1,confirm,1.0,-53.06,-69.06,26.63,8365,79.7,53.06,22449,0.373,0.996,0.106,0.2312,10,0.7664,12849,0.996,1,1064,-6.55,1,1064,-6.55,1,1064,-6.55,1,1064,-6.55,0.8002,42.8,8,980151
80.0,1,-1,confirm,1.0,4.25,-11.75,44.17,1332,39.92,3.91,1880,0.709,0.47,0.082,0.5622,14,0.5827,1233,0.9501,1,1613,29.55,1,1613,29.55,1,1613,29.55,1,1726,29.58,0.2043,79.49,14,1002600
80.0,1,1,confirm,1.0,-66.11,-82.11,13.44,5023,79.55,66.11,10509,0.478,2.265,0.37,0.5539,16,0.7133,52,0.987,1,600,-3.25,1,600,-3.25,1,600,-3.25,1,600,-3.25,0.7216,40.1,15,1004480
80.0,1,-1,confirm,1.0,-38.43,-54.43,2.71,1363,41.15,38.43,9051,0.151,0.638,0.115,0.2457,18,0.6107,0,0.9517,1,1472,-1.48,1,1472,-1.48,1,1472,-1.48,1,1552,-1.0,0.6602,79.44,17,1014989
80.0,1,1,confirm,1.0,116.27,100.27,157.22,3099,40.95,3.8,3235,0.958,5.969,0.466,0.5533,21,0.7792,474,0.9799,1,720,12.57,1,720,12.57,1,720,12.57,1,1040,15.8,0.8149,41.16,20,1024040
80.0,1,-1,confirm,1.0,-78.88,-94.88,13.47,497,92.35,78.88,1160,0.428,0.724,0.072,-0.0126,21,0.0529,766,0.7104,1,785,-36.58,0,-1,,0,-1,,0,-1,,0.7236,40.31,21,1027275
80.0,1,1,fallback,1.0,31.08,15.08,71.88,598,40.8,6.96,827,0.723,1.403,0.123,0.5373,21,0.7541,12,0.8592,0,-1,,0,-1,,0,-1,,0,-1,,0.0627,92.47,21,1028435
80.0,1,-1,confirm,1.0,29.33,13.33,69.06,796,39.73,20.41,1125,0.708,1.465,0.146,0.1217,22,0.1262,779,0.7149,1,448,-10.28,1,844,64.7,0,-1,,0,-1,,0.5729,40.5,21,1029262
80.0,1,1,confirm,1.0,7.37,-8.63,48.21,1874,40.84,31.92,3175,0.59,3.572,0.199,0.2634,22,0.328,1873,0.7162,1,202,-17.41,1,202,-17.41,1,1171,-2.17,1,280,-28.09,0.5621,40.01,22,1030387
80.0,1,-1,confirm,1.0,-81.37,-97.37,-0.0,0,81.37,81.37,2946,0.0,0.833,0.184,0.1447,23,0.3943,2012,0.814,1,157,-34.29,1,157,-34.29,1,2146,-57.59,1,167,-37.66,0.3986,40.65,23,1033562
80.0,1,1,fallback,1.0,-24.33,-40.33,15.97,1190,40.3,24.33,2212,0.538,3.47,0.165,0.2738,0,0.3394,2114,0.9042,1,97,-7.25,1,1785,-13.26,1,1785,-13.26,1,1786,-13.26,0.2182,81.37,23,1036508
80.0,1,-1,confirm,1.0,1.09,-14.91,41.62,1982,40.53,5.09,4024,0.493,1.463,0.285,0.659,1,0.695,1950,0.9831,1,3985,8.12,1,3985,8.12,1,3985,8.12,1,4022,3.83,0.7296,40.23,0,1038720
80.0,1,1,confirm,1.0,16.19,0.19,56.88,7885,40.69,31.04,9260,0.852,1.34,0.202,0.197,3,0.4717,2068,0.9795,1,362,12.5,1,362,12.5,1,362,12.5,1,364,9.16,0.4761,40.7,1,1042744
80.0,1,-1,confirm,1.0,-51.17,-67.17,32.6,19543,83.76,51.17,25502,0.766,1.28,0.389,0.3,9,0.7157,23904,0.9807,1,414,-4.84,1,414,-4.84,1,414,-4.84,1,547,-5.14,0.2858,40.46,4,1052004
80.0,1,1,fallback,1.0,8.02,-7.98,48.81,485,40.79,-0.0,2802,0.173,1.642,0.169,-0.0169,11,0.2536,0,0.8767,1,431,36.16,1,431,36.16,1,431,36.16,1,600,24.93,0.6326,84.04,11,1077506
80.0,1,-1,confirm,1.0,-81.34,-97.34,0.54,6,81.88,81.34,3690,0.002,2.341,0.231,-0.0889,12,0.326,1465,0.8769,1,657,-24.88,1,2144,-40.15,1,2144,-40.15,1,2234,-48.3,0.0969,40.59,12,1080308
80.0,1,1,fallback,1.0,1.37,-14.63,44.4,1162,43.03,14.57,1994,0.583,0.389,0.128,0.1904,13,0.242,916,0.8556,1,154,-5.89,1,154,-5.89,1,154,-5.89,0,-1,,0.1199,81.88,13,1083998
80.0,1,-1,confirm,1.0,13.76,-2.24,54.38,1867,40.61,0.0,3938,0.474,1.148,0.051,0.2635,14,0.3492,2019,0.784,1,618,7.26,1,618,7.26,1,618,7.26,1,633,6.66,0.0462,42.84,13,1085992
80.0,1,1,confirm,1.0,61.47,45.47,108.38,4469,46.91,0.0,8254,0.541,0.879,0.064,0.2669,15,0.4316,3688,0.957,1,674,13.09,1,674,13.09,1,674,13.09,1,2184,21.23,0.1731,40.84,14,1089930
80.0,1,-1,confirm,1.0,50.74,34.74,90.61,8217,39.86,0.0,8612,0.954,4.078,0.419,0.3197,19,0.5381,275,0.9452,1,1363,16.25,1,1363,16.25,1,1363,16.25,1,2397,18.65,0.2981,46.4,17,1098184
80.0,1,1,confirm,1.0,-64.47,-80.47,16.5,1119,80.96,64.47,10693,0.105,0.742,0.125,0.2355,19,0.59,9674,0.9725,1,219,-15.27,1,599,6.3,1,1165,6.6,1,1196,-1.11,0.2517,40.23,19,1106796
80.0,1,-1,fallback,1.0,-24.36,-40.36,16.98,478,41.33,24.36,970,0.493,2.558,0.192,0.3737,22,0.3755,482,0.8958,0,-1,,0,-1,,0,-1,,0,-1,,0.3983,80.83,22,1117489
80.0,1,1,confirm,1.0,-65.79,-81.79,13.77,7259,79.56,65.79,13609,0.533,1.84,0.249,0.2911,0,0.4981,3957,0.9709,1,424,-24.79,1,424,-24.79,1,424,-24.79,1,1191,-24.92,0.8958,41.4,22,1118459
80.0,1,-1,confirm,1.0,1.42,-14.58,43.22,3219,41.81,0.0,3463,0.93,2.849,0.38,0.226,3,0.6047,1869,0.9653,1,754,4.23,1,754,4.23,1,754,4.23,1,756,4.23,0.4728,79.45,2,1132068
80.0,1,1,confirm,1.0,11.88,-4.12,54.65,2413,42.77,5.52,3839,0.629,2.631,0.55,0.4895,4,0.6353,2427,0.9939,1,600,19.77,1,600,19.77,1,600,19.77,1,600,19.77,0.9233,41.99,3,1135531
80.0,1,-1,confirm,1.0,-50.1,-66.1,30.6,122,80.7,50.1,7217,0.017,6.435,0.432,0.2248,4,0.4515,1832,0.961,1,1044,17.49,1,1044,17.49,1,1044,17.49,1,1369,21.21,0.6939,42.54,4,1139370
80.0,1,1,fallback,1.0,57.61,41.61,99.09,8773,41.48,5.83,9942,0.882,0.965,0.311,0.3689,8,0.7305,292,0.9573,1,1090,19.81,1,1090,19.81,1,1090,19.81,1,1090,19.81,0.1317,80.95,6,1146587
80.0,1,-1,confirm,1.0,11.33,-4.67,52.23,8463,40.9,8.34,10832,0.781,1.22,0.118,0.4294,11,0.4924,640,0.9831,1,1240,5.22,1,1240,5.22,1,1240,5.22,1,1240,5.22,0.2325,41.08,9,1156529
80.0,1,1,confirm,1.0,-55.63,-71.63,26.53,1104,82.15,55.63,3131,0.353,2.769,0.244,0.2187,12,0.3037,4,0.8516,1,584,-9.49,1,584,-9.49,1,584,-9.49,1,847,-8.8,0.5669,41.11,12,1167361
80.0,1,-1,fallback,1.0,10.94,-5.06,51.13,1748,40.19,4.09,2479,0.705,2.132,0.093,0.3145,13,0.5558,212,0.911,0,-1,,0,-1,,0,-1,,0,-1,,0.4938,81.93,13,1170492
80.0,1,1,confirm,1.0,-70.09,-86.09,10.24,942,80.33,70.09,1809,0.521,0.613,0.21,-0.1308,14,-0.0039,1291,0.9212,0,-1,,0,-1,,0,-1,,0,-1,,0.6484,40.39,13,1172971
80.0,1,-1,fallback,1.0,12.81,-3.19,56.76,834,43.95,9.13,933,0.894,1.11,0.091,0.2614,14,0.6544,58,0.852,0,-1,,0,-1,,0,-1,,0,-1,,0.3399,80.25,14,1174780
80.0,1,1,confirm,1.0,11.91,-4.09,53.31,3650,41.4,12.46,4227,0.863,1.573,0.173,-0.1554,15,0.2682,2433,0.7685,1,690,7.18,1,690,7.18,1,2661,24.71,1,834,-2.62,0.6852,44.2,14,1175713
80.0,1,-1,confirm,1.0,-77.29,-93.29,3.35,2945,80.63,77.29,8293,0.355,1.219,0.166,0.2261,16,0.561,1760,0.964,1,673,-38.04,1,673,-38.04,1,673,-38.04,1,673,-38.04,0.5627,41.18,15,1179940
80.0,1,1,fallback,1.0,-40.16,-56.16,0.0,0,40.16,40.16,1091,0.0,1.852,0.301,0.3861,18,0.3917,3,0.8819,1,602,-20.46,1,602,-20.46,1,602,-20.46,0,-1,,0.4334,80.66,18,1188233
80.0,1,-1,confirm,1.0,21.6,5.6,62.15,3317,40.55,0.0,7169,0.463,0.739,0.157,0.0599,19,0.6161,4811,0.9336,1,2552,40.4,1,5276,45.58,1,5276,45.58,1,5276,45.58,0.3726,40.16,18,1189324
80.0,1,1,confirm,1.0,5.54,-10.46,46.54,21747,41.0,52.18,22587,0.963,3.781,0.395,0.4112,2,0.7373,17298,0.9891,1,109,-4.43,1,109,-4.43,1,2587,2.81,1,268,-10.98,0.2689,40.81,20,1196493
80.0,1,-1,confirm,1.0,53.14,37.14,93.07,18981,39.93,27.96,19187,0.989,6.208,0.353,0.5386,7,0.7121,10014,0.9839,1,283,-1.35,1,283,-1.35,1,2827,20.34,1,714,-2.72,0.871,40.81,2,1219080
80.0,1,1,confirm,1.0,-67.31,-83.31,12.21,37,79.52,67.31,2448,0.015,0.936,0.069,-0.341,7,0.1533,407,0.8821,1,494,-6.22,1,494,-6.22,0,-1,,1,531,-10.07,0.7097,40.3,7,1238267
80.0,1,-1,confirm,1.0,37.69,21.69,78.07,9531,40.38,1.78,11285,0.845,0.872,0.155,0.0729,11,0.6159,75,0.9913,1,1403,13.83,1,1403,13.83,1,1403,13.83,1,1621,17.78,0.3781,79.43,8,1240715
80.0,1,1,confirm,1.0,57.18,41.18,97.74,8937,40.55,36.59,9342,0.957,2.879,0.229,0.4827,14,0.6945,4855,0.9745,1,645,-0.13,1,645,-0.13,1,645,-0.13,1,645,-0.13,0.309,40.7,11,1252000
80.0,1,-1,confirm,1.0,21.29,5.29,63.88,1521,42.59,15.57,1611,0.944,5.647,0.256,0.3003,14,0.3388,1510,0.9048,1,811,-1.15,1,811,-1.15,1,811,-1.15,0,-1,,0.7586,40.16,14,1261342
80.0,1,1,confirm,1.0,170.97,154.97,212.82,5963,41.85,11.06,6086,0.98,3.11,0.256,0.201,16,0.4841,6052,0.8672,1,2308,37.5,1,2308,37.5,1,2308,37.5,1,2308,37.5,0.4891,42.87,14,1262953
80.0,1,-1,confirm,1.0,12.39,-3.61,56.22,2259,43.83,0.0,4949,0.456,3.534,0.134,0.4166,17,0.5226,1353,0.9809,1,860,30.51,1,860,30.51,1,860,30.51,1,860,30.51,0.5463,40.98,16,1269039
80.0,1,1,confirm,1.0,-67.03,-83.03,15.43,122,82.46,67.03,435,0.28,2.041,0.314,0.2492,17,0.2986,411,0.9017,1,413,-24.51,1,413,-24.51,1,413,-24.51,1,413,-24.51,0.739,44.07,17,1273988
80.0,1,-1,fallback,1.0,1.17,-14.83,41.67,38,40.5,6.64,97,0.392,5.911,0.162,0.1258,18,0.1258,38,0.3561,0,-1,,0,-1,,0,-1,,0,-1,,0.4964,82.33,18,1274423
80.0,1,1,confirm,1.0,-72.81,-88.81,7.41,1,80.22,72.81,194,0.005,1.168,0.064,-0.0746,18,-0.0746,1,0.3754,0,-1,,0,-1,,0,-1,,0,-1,,0.1283,40.67,18,1274520
