theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,slmin,t_slmin_c,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,r8_a10xm20_trig,r8_a10xm20_t_c,r8_a10xm20_gx,r8_a10xm30_trig,r8_a10xm30_t_c,r8_a10xm30_gx,dv20_trig,dv20_t_c,dv20_gx,dv30_trig,dv30_t_c,dv30_gx,dv40_trig,dv40_t_c,dv40_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,1,-1,confirm,0.1,76.58,60.58,116.27,45488,39.69,27.08,68310,0.666,0.141,0.22,-0.3975,9,0.9978,67692,1.0,-0.9751,11808,1,2971,8.87,1,2971,8.87,1,2971,8.87,1,2971,8.87,1,2975,8.87,1,4785,7.0,1,2975,8.87,1,4785,7.0,1,4791,3.27,1.0,40.46,8,288319
80.0,1,1,confirm,0.1,-63.52,-79.52,16.0,7779,79.52,63.52,57679,0.135,0.009,0.293,0.9134,10,0.9749,53076,1.0,-0.9711,41266,1,592,-0.94,1,592,-0.94,1,592,-0.94,1,592,-0.94,1,592,-0.94,1,645,-0.94,1,592,-0.94,1,645,-0.94,1,669,-0.94,0.1328,40.16,9,356629
80.0,1,-1,confirm,0.1,-22.73,-38.73,17.99,6192,40.73,22.73,17177,0.36,0.176,0.643,-0.925,11,0.9854,4421,1.0,-1.0,6238,1,291,1.89,1,291,1.89,1,291,1.89,1,496,-0.0,1,497,-0.47,1,597,-0.47,1,497,-0.47,1,597,-0.47,1,673,-0.95,1.0,79.39,11,414308
80.0,1,1,confirm,0.1,-80.79,-96.79,0.94,2,81.74,80.79,25258,0.0,0.002,0.322,-0.3969,11,0.9985,21405,1.0,-0.9703,21407,1,537,-4.72,1,537,-4.72,1,537,-4.72,1,537,-4.72,1,597,-3.78,1,1512,-2.83,1,0,0.0,1,0,0.0,1,23,0.47,1.0,40.8,11,431485
80.0,1,-1,fallback,0.1,-4.29,-20.29,36.2,19396,40.49,10.96,33707,0.575,7.376,0.023,0.244,13,0.7957,12221,1.0,-0.9854,17827,1,600,-0.48,1,600,-0.48,1,600,-0.48,1,600,-0.48,1,600,-0.48,1,600,-0.48,1,600,-0.48,1,600,-0.48,1,600,-0.48,1.0,81.73,12,456743
80.0,1,1,confirm,0.1,-71.42,-87.42,9.52,68123,80.94,71.42,87729,0.777,1.035,0.056,-0.0208,15,0.9922,4875,1.0,-0.9847,38508,1,148,-1.9,1,148,-1.9,1,148,-1.9,1,1036,3.81,1,1036,3.81,1,1106,3.81,1,1036,3.81,1,1106,3.81,1,1411,3.81,0.5384,40.63,13,490450
80.0,1,-1,fallback,0.1,-25.9,-41.9,14.39,10407,40.28,25.9,23258,0.447,1.976,0.29,0.9399,16,0.9867,13756,1.0,-0.9768,20678,1,452,-9.59,1,452,-9.59,1,452,-9.59,1,470,-4.32,1,571,-4.8,1,754,-6.71,1,571,-4.8,1,754,-6.71,1,754,-6.71,1.0,80.86,16,578179
80.0,1,1,confirm,0.1,0.96,-15.04,41.61,71117,40.66,15.31,96040,0.74,0.161,0.149,-0.1724,18,1.0,22578,1.0,-1.0,64759,1,108,-0.96,1,108,-0.96,1,108,-0.96,1,108,-0.96,1,108,-0.96,1,3382,2.87,1,0,0.0,1,0,0.0,1,3611,2.87,0.9995,40.34,16,601437
80.0,1,-1,confirm,0.1,13.39,-2.61,54.52,50993,41.13,18.65,61799,0.825,5.457,0.217,0.6479,20,1.0,3607,1.0,-1.0,1761,1,44,0.96,1,44,0.96,1,774,-0.96,1,44,0.96,1,44,0.96,1,44,0.96,1,44,0.96,1,44,0.96,1,44,0.96,0.8357,40.49,19,697477
80.0,1,1,confirm,0.1,-76.62,-92.62,4.79,5797,81.41,76.62,108392,0.053,6.334,0.167,-0.3334,21,1.0,82034,1.0,-1.0,11362,1,3023,-8.62,1,3023,-8.62,1,3023,-8.62,1,3024,-9.58,1,3088,-9.58,1,3088,-9.58,1,0,0.0,1,0,0.0,1,0,0.0,0.8814,41.36,21,759276
