theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,1,1,confirm,1.0,-58.48,-74.48,21.93,1519,80.41,58.48,1810,0.839,1.405,0.089,0.0363,14,0.0903,978,0.8677,1,454,-4.06,0,-1,,0,-1,,0,-1,,0.0017,40.78,13,49880
80.0,1,-1,fallback,1.0,-26.14,-42.14,13.89,758,40.03,26.14,943,0.804,0.969,0.073,-0.0091,14,0.1917,331,0.6043,1,498,3.27,1,498,3.27,0,-1,,1,786,2.45,0.5042,80.23,14,51690
80.0,1,1,confirm,1.0,10.59,-5.41,51.34,142,40.74,-0.0,329,0.432,3.438,0.175,0.2385,14,0.3351,135,0.6038,0,-1,,0,-1,,0,-1,,0,-1,,0.597,40.09,14,52633
80.0,1,-1,confirm,1.0,15.47,-0.53,56.98,2475,41.51,28.49,2683,0.922,0.401,0.118,0.1505,15,0.3109,1001,0.8587,1,1452,-0.81,1,1452,-0.81,1,1452,-0.81,0,-1,,0.1412,40.54,14,52962
80.0,1,1,confirm,1.0,-57.88,-73.88,26.9,34,84.79,57.88,2444,0.014,1.986,0.134,-0.0277,15,0.3329,1968,0.8527,1,419,-25.27,1,419,-25.27,1,2431,-29.35,1,457,-31.8,0.0318,41.75,15,55645
80.0,1,-1,fallback,1.0,-41.0,-57.0,-0.0,0,41.0,41.0,81,0.0,1.632,0.105,0.0917,16,0.1162,69,0.8319,0,-1,,0,-1,,0,-1,,0,-1,,0.1034,84.56,16,58089
80.0,1,1,confirm,1.0,-74.32,-90.32,5.72,114,80.03,74.32,678,0.168,0.372,0.023,-0.1858,16,-0.013,519,0.6314,0,-1,,0,-1,,0,-1,,0,-1,,0.8319,41.0,16,58170
80.0,1,-1,fallback,1.0,12.34,-3.66,53.48,371,41.14,0.0,722,0.514,1.35,0.191,0.1748,16,0.2541,200,0.5538,1,504,27.97,1,504,27.97,1,504,27.97,0,-1,,0.0254,79.99,16,58848
80.0,1,1,confirm,1.0,46.96,30.96,88.97,1688,42.01,15.65,1818,0.928,0.466,0.167,0.4134,17,0.4652,1172,0.8575,1,532,30.48,0,-1,,0,-1,,0,-1,,0.013,41.36,16,59570
80.0,1,-1,confirm,1.0,10.66,-5.34,50.84,255,40.18,4.92,476,0.536,1.492,0.169,0.0356,17,0.0772,285,0.6738,1,218,37.72,0,-1,,0,-1,,0,-1,,0.6008,41.64,17,61388
80.0,1,1,confirm,1.0,44.32,28.32,85.36,1706,41.04,19.7,2137,0.798,1.453,0.193,-0.2207,17,0.2484,1364,0.9768,1,12,-14.77,1,1440,81.26,1,1440,81.26,1,1527,70.59,0.19,40.38,17,61864
80.0,1,-1,confirm,1.0,44.13,28.13,86.62,2025,42.49,8.99,2720,0.744,2.491,0.242,0.2852,18,0.5075,1708,0.9003,1,1006,15.53,1,1006,15.53,1,1006,15.53,1,1016,12.26,0.6436,40.69,17,64001
80.0,1,1,confirm,1.0,-65.67,-81.67,16.42,588,82.08,65.67,2960,0.199,2.224,0.084,0.2903,18,0.3811,54,0.9768,1,1297,-10.67,1,1297,-10.67,1,1297,-10.67,1,1438,5.75,0.2671,42.87,18,66721
80.0,1,-1,fallback,1.0,13.22,-2.78,53.71,740,40.49,1.65,1002,0.739,0.491,0.127,-0.2721,19,-0.0771,179,0.852,0,-1,,0,-1,,0,-1,,0,-1,,0.5952,81.95,19,69681
80.0,1,1,confirm,1.0,-51.29,-67.29,38.88,559,90.18,51.29,1029,0.543,0.269,0.214,0.256,19,0.4243,265,0.9287,1,590,29.78,1,590,29.78,1,590,29.78,1,590,29.78,0.2266,40.7,19,70683
80.0,1,-1,fallback,1.0,-39.09,-55.09,2.49,3,41.58,39.09,89,0.034,0.827,0.161,0.2126,19,0.2176,0,0.1222,0,-1,,0,-1,,0,-1,,0,-1,,0.1531,89.83,19,71712
80.0,1,1,confirm,1.0,-72.07,-88.07,7.46,943,79.52,72.07,2493,0.378,0.763,0.15,0.4069,20,0.4721,1061,0.9568,1,1161,-46.39,1,1161,-46.39,1,1161,-46.39,1,1201,-62.13,0.1048,41.59,19,71801
80.0,1,-1,confirm,1.0,56.74,40.74,97.62,1013,40.88,14.18,1034,0.98,4.226,0.147,0.0187,20,0.172,3,0.7582,1,245,-13.35,1,245,-13.35,0,-1,,1,416,7.51,0.0874,79.46,20,74294
80.0,1,1,confirm,1.0,85.59,69.59,127.55,812,41.96,15.1,921,0.882,0.548,0.228,0.0672,21,0.0772,828,0.6489,1,634,100.7,0,-1,,0,-1,,0,-1,,0.3067,41.29,20,75328
80.0,1,-1,confirm,1.0,-76.55,-92.55,4.99,10,81.54,76.55,1195,0.008,0.458,0.134,-0.0282,21,-0.0089,71,0.6999,0,-1,,0,-1,,0,-1,,0,-1,,0.4586,41.43,21,76249
80.0,1,1,fallback,1.0,-12.39,-28.39,28.9,328,41.28,12.39,572,0.573,2.778,0.165,0.1715,21,0.3195,183,0.7235,1,363,16.51,1,363,16.51,1,363,16.51,0,-1,,0.2843,81.58,21,77444
80.0,1,-1,confirm,1.0,-82.67,-98.67,3.31,56,85.98,82.67,496,0.113,0.444,0.049,0.0252,21,0.0955,353,0.6269,1,361,-28.11,0,-1,,0,-1,,0,-1,,0.1227,41.17,21,78016
80.0,1,1,fallback,1.0,-34.44,-50.44,6.56,848,41.0,34.44,1147,0.739,2.294,0.033,-0.0443,22,0.0674,6,0.7491,1,145,-2.46,0,-1,,0,-1,,0,-1,,0.3081,86.01,21,78512
80.0,1,-1,confirm,1.0,9.05,-6.95,50.19,932,41.14,13.16,1272,0.733,1.446,0.095,0.09,22,0.2127,539,0.9337,1,144,-9.87,1,962,31.27,1,962,31.27,0,-1,,0.2983,40.97,22,79659
80.0,1,1,confirm,1.0,-78.23,-94.23,1.65,16,79.88,78.23,1574,0.01,0.148,0.026,-0.2044,22,0.1726,1146,0.7693,1,1459,-60.12,1,1459,-60.12,0,-1,,1,1459,-60.12,0.5082,41.35,22,80931
80.0,1,-1,confirm,1.0,15.77,-0.23,55.61,816,39.84,33.2,1133,0.72,0.786,0.14,0.1576,23,0.1857,761,0.838,1,14,-2.49,1,1082,33.2,0,-1,,0,-1,,0.2018,79.87,22,82505
80.0,1,1,confirm,1.0,0.83,-15.17,42.4,3670,41.57,34.08,4213,0.871,2.716,0.036,-0.0008,0,0.39,1976,0.9612,1,362,-18.29,1,362,-18.29,1,2153,-2.49,1,419,-11.64,0.424,40.06,23,83638
80.0,1,-1,confirm,1.0,89.78,73.78,131.34,349,41.56,7.48,409,0.853,3.432,0.254,0.2056,0,0.3692,88,0.6073,0,-1,,0,-1,,0,-1,,0,-1,,0.2233,41.39,0,87851
80.0,1,1,confirm,1.0,4.19,-11.81,46.13,97,41.94,-0.0,356,0.272,0.786,0.08,-0.1204,0,-0.0952,300,0.195,0,-1,,0,-1,,0,-1,,0,-1,,0.0708,42.12,0,88260
80.0,1,-1,confirm,1.0,6.71,-9.29,46.95,107,40.24,0.0,368,0.291,1.556,0.072,0.0282,0,0.1317,10,0.4841,1,364,15.09,1,364,15.09,0,-1,,0,-1,,0.022,41.75,0,88616
80.0,1,1,confirm,1.0,16.78,0.78,57.05,103,40.27,7.55,160,0.644,0.67,0.032,0.0305,0,0.0439,100,0.7205,0,-1,,0,-1,,0,-1,,0,-1,,0.0758,40.43,0,88984
80.0,1,-1,confirm,1.0,5.86,-10.14,46.91,497,41.04,5.03,804,0.618,1.381,0.089,0.1221,0,0.1763,480,0.7047,1,226,31.83,1,617,21.78,0,-1,,1,725,32.67,0.2864,40.04,0,89144
80.0,1,1,confirm,1.0,-51.96,-67.96,28.49,410,80.46,51.96,901,0.455,0.621,0.069,0.0835,1,0.241,270,0.392,1,553,-0.84,1,553,-0.84,1,553,-0.84,1,656,-10.9,0.2221,41.24,0,89948
