theta,registry,side,kind,grid_s,gross_bp,net_real_bp,peak_fav_bp,t_peak_c,giveback_bp,max_adv_bp,dur_c,frac_peak,clmx60_pk,er600_pk,slean_pk,hod_pk,slmax,t_slmax_c,slmax60,slmin,t_slmin_c,r8_a05x0_trig,r8_a05x0_t_c,r8_a05x0_gx,r8_a10x0_trig,r8_a10x0_t_c,r8_a10x0_gx,r8_a20x0_trig,r8_a20x0_t_c,r8_a20x0_gx,r8_a10xm10_trig,r8_a10xm10_t_c,r8_a10xm10_gx,r8_a10xm20_trig,r8_a10xm20_t_c,r8_a10xm20_gx,r8_a10xm30_trig,r8_a10xm30_t_c,r8_a10xm30_gx,dv20_trig,dv20_t_c,dv20_gx,dv30_trig,dv30_t_c,dv30_gx,dv40_trig,dv40_t_c,dv40_gx,dive_depth,lag_bp,hod_entry,entry_idx
80.0,0,-1,confirm,0.1,-14.93,-30.93,25.79,134182,40.72,65.15,138838,0.966,0.272,0.258,0.9145,9,1.0,10149,1.0,-1.0,2345,1,651,-6.11,1,651,-6.11,1,651,-6.11,1,654,-5.43,1,790,-3.39,1,790,-3.39,1,0,-0.0,1,0,-0.0,1,0,-0.0,0.9802,40.55,5,199288
80.0,0,1,confirm,0.1,-48.11,-64.11,31.85,25155,79.96,48.11,53359,0.471,9.854,0.938,1.0,10,1.0,0,1.0,-1.0,976,1,88,4.07,1,88,4.07,1,88,4.07,1,88,4.07,1,88,4.07,1,521,5.42,1,88,4.07,1,521,5.42,1,521,5.42,1.0,40.82,9,338126
80.0,0,-1,confirm,0.1,2.04,-13.96,42.9,25031,40.86,13.62,53722,0.466,4.01,0.274,0.7848,11,1.0,3051,1.0,-1.0,1641,1,1641,-10.21,1,1641,-10.21,1,1641,-10.21,1,1641,-10.21,1,1641,-10.21,1,1641,-10.21,1,1641,-10.21,1,1641,-10.21,1,1641,-10.21,1.0,79.71,10,391485
80.0,0,1,confirm,0.1,-73.55,-89.55,6.13,3274,79.68,73.55,11166,0.293,2.345,0.1,0.4275,12,1.0,1290,1.0,-1.0,1586,1,1129,-2.04,1,1129,-2.04,1,1129,-2.04,1,1129,-2.04,1,1261,-2.04,1,1261,-2.04,1,0,0.0,1,0,0.0,1,0,0.0,0.5609,41.03,12,445207
80.0,0,-1,confirm,0.1,55.57,39.57,96.74,26301,41.17,9.61,29424,0.894,0.647,0.396,0.8632,13,1.0,15208,1.0,-1.0,9729,1,202,-7.55,1,202,-7.55,1,202,-7.55,1,202,-7.55,1,203,-8.92,1,203,-8.92,1,203,-8.92,1,203,-8.92,1,967,19.21,1.0,79.64,12,456373
80.0,0,1,confirm,0.1,-50.37,-66.37,29.67,72848,80.03,50.37,102639,0.71,0.028,0.6,-0.9944,15,1.0,2995,1.0,-1.0,9782,1,160,0.69,1,160,0.69,1,160,0.69,1,177,0.69,1,177,0.69,1,177,0.69,1,177,0.69,1,177,0.69,1,177,0.69,0.8187,41.57,13,485797
80.0,0,-1,confirm,0.1,-30.51,-46.51,9.71,5981,40.22,30.51,12299,0.486,0.005,0.428,1.0,16,1.0,2629,1.0,-1.0,7069,1,111,8.32,1,111,8.32,1,111,8.32,1,111,8.32,1,683,5.55,1,683,5.55,1,683,5.55,1,683,5.55,1,683,5.55,1.0,79.8,16,588436
80.0,0,1,confirm,0.1,-58.07,-74.07,23.51,90817,81.58,58.07,147747,0.615,9.915,0.5,1.0,19,1.0,720,1.0,-1.0,2038,1,705,5.53,1,705,5.53,1,705,5.53,1,705,5.53,1,706,5.53,1,709,5.53,1,706,5.53,1,709,5.53,1,709,5.53,1.0,40.26,16,600735
80.0,0,-1,fallback,0.1,-40.33,-56.33,-0.0,0,40.33,40.33,9196,0.0,4.373,0.25,0.7782,20,1.0,4356,1.0,-1.0,1379,1,600,-5.56,1,600,-5.56,1,600,-5.56,1,600,-5.56,1,600,-5.56,1,600,-5.56,1,600,-5.56,1,600,-5.56,1,908,-7.65,1.0,81.38,20,748482
80.0,0,1,confirm,0.1,4.85,-11.15,45.71,42080,40.86,9.7,56093,0.75,0.0,0.091,-0.9859,22,1.0,1465,1.0,-1.0,910,1,313,2.08,1,313,2.08,1,313,2.08,1,340,2.77,1,340,2.77,1,340,2.77,1,340,2.77,1,340,2.77,1,340,2.77,1.0,40.33,21,757678
80.0,0,-1,confirm,0.1,2.08,-13.92,43.61,40753,41.53,34.61,51579,0.79,8.855,0.084,1.0,23,1.0,3060,1.0,-1.0,1094,1,532,-6.23,1,532,-6.23,1,532,-6.23,1,532,-6.23,1,533,-6.23,1,564,-6.23,1,533,-6.23,1,564,-6.23,1,589,-6.92,0.0,40.68,22,813771
80.0,0,1,confirm,0.1,-81.01,-97.01,0.0,0,81.01,81.01,2338,0.0,9.154,0.406,0.6214,0,0.997,807,1.0,-1.0,1267,1,598,-9.69,1,598,-9.69,1,598,-9.69,1,600,-9.69,1,600,-9.69,1,600,-9.69,1,600,-9.69,1,600,-9.69,1,600,-9.69,1.0,41.72,0,865350
80.0,0,-1,fallback,0.1,26.53,10.53,68.41,14,41.88,0.0,48,0.292,9.55,0.539,0.8735,0,0.9363,11,0.9993,0.178,0,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.769,81.01,0,867688
80.0,0,1,confirm,0.1,-80.49,-96.49,0.0,0,80.49,80.49,6396,0.0,9.726,0.216,-0.319,0,0.9818,4369,1.0,-0.9068,6378,1,567,-34.29,1,675,-35.69,1,675,-35.69,1,675,-35.69,1,1854,-25.2,1,1990,-20.3,1,0,0.0,1,0,0.0,1,56,-63.69,0.9283,42.17,0,867736
80.0,0,-1,fallback,0.1,-9.88,-25.88,31.04,2,40.92,9.88,2732,0.001,6.744,0.294,0.9516,0,0.9516,2,1.0,-0.9589,2340,1,602,8.47,1,602,8.47,1,602,8.47,1,602,8.47,1,602,8.47,1,602,8.47,1,602,8.47,1,602,8.47,1,783,-0.0,0.3389,80.49,0,874132
80.0,0,1,confirm,0.1,-84.58,-100.58,0.0,0,84.58,84.58,2405,0.0,0.146,0.096,0.3097,0,0.9974,1894,1.0,-0.9652,970,1,27,-4.93,1,27,-4.93,1,27,-4.93,1,828,-21.15,1,828,-21.15,1,828,-21.15,1,828,-21.15,1,828,-21.15,1,828,-21.15,0.978,41.05,0,876864
80.0,0,-1,fallback,0.1,-32.7,-48.7,8.53,4,41.23,32.7,417,0.01,8.364,0.524,0.6973,0,0.765,2,1.0,-0.0876,324,1,45,-11.37,1,45,-11.37,1,45,-11.37,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0,-1,,0.9892,84.58,0,879269
