date,wind_mwh,solar_mwh
2019-01-01,678783.0,102079.0
2019-01-02,461643.0,105518.0
2019-01-03,671241.0,109145.0
2019-01-04,610758.0,110686.0
2019-01-05,650921.0,67413.0
2019-01-06,1318665.0,95007.0
2019-01-07,1134487.0,106667.0
2019-01-08,1090549.0,98481.0
2019-01-09,796946.0,104676.0
2019-01-10,846882.0,121191.0
2019-01-11,738737.0,101371.0
2019-01-12,795654.0,70593.0
2019-01-13,355596.0,89750.0
2019-01-14,289877.0,47789.0
2019-01-15,502915.0,51630.0
2019-01-16,582670.0,95530.0
2019-01-17,471559.0,71178.0
2019-01-18,1040183.0,108274.0
2019-01-19,1070222.0,114950.0
2019-01-20,768888.0,95241.0
2019-01-21,1373736.0,130435.0
2019-01-22,1134897.0,134061.0
2019-01-23,835402.0,130250.0
2019-01-24,1011724.0,135160.0
2019-01-25,602715.0,153416.0
2019-01-26,541492.0,145864.0
2019-01-27,787744.0,121360.0
2019-01-28,1267749.0,114353.0
2019-01-29,844807.0,127597.0
2019-01-30,661721.0,125524.0
2019-01-31,682288.0,115688.0
2019-02-01,597335.0,113647.0
2019-02-02,1133030.0,85019.0
2019-02-03,1208624.0,102649.0
2019-02-04,982515.0,110704.0
2019-02-05,606003.0,112251.0
2019-02-06,611106.0,132024.0
2019-02-07,812448.0,159012.0
2019-02-08,761705.0,150554.0
2019-02-09,828457.0,112854.0
2019-02-10,588624.0,112825.0
2019-02-11,761568.0,133222.0
2019-02-12,926508.0,114756.0
2019-02-13,1250952.0,78443.0
2019-02-14,1204042.0,81194.0
2019-02-15,953530.0,105519.0
2019-02-16,585073.0,125344.0
2019-02-17,691839.0,118301.0
2019-02-18,675160.0,138274.0
2019-02-19,458200.0,144253.0
2019-02-20,837358.0,102891.0
2019-02-21,927235.0,91853.0
2019-02-22,557251.0,140984.0
2019-02-23,1007607.0,143364.0
2019-02-24,985961.0,156280.0
2019-02-25,1022723.0,169905.0
2019-02-26,676644.0,128244.0
2019-02-27,674147.0,114996.0
2019-02-28,352165.0,142219.0
2019-03-01,419807.0,105396.0
2019-03-02,602125.0,113170.0
2019-03-03,941199.0,122451.0
2019-03-04,834783.0,145039.0
