population,label,threshold,n_population,n_winner_pop,base_win_rate,n_fired,n_fired_winners,precision,recall,lift,mean_net_bps_fired,median_net_bps_fired,median_net_bps_pop
ALL,cover_by_15m_TRUE,True,67728,5616,0.08291991495393337,16349,5521,0.3376964951984831,0.9830840455840456,4.072562006197091,-0.4971530026262801,-3.841222951883819,-11.250814675307694
ALL,cover_by_30m_TRUE,True,67728,5616,0.08291991495393337,16418,5558,0.3385308807406505,0.9896723646723646,4.082624553205624,-0.5047706944754403,-3.8275134801277764,-11.250814675307694
ALL,cover_by_60m_TRUE,True,67728,5616,0.08291991495393337,16489,5574,0.33804354418096916,0.9925213675213675,4.076747357601261,-0.4694842661232001,-3.797616530776362,-11.250814675307694
ALL,ever_underwater_FALSE,True,67728,5616,0.08291991495393337,425,101,0.2376470588235294,0.017984330484330485,2.8659829059829063,-1.0028984668185508,-3.945205301246742,-11.250814675307694
ALL,reached_12bps_within_15m,True,67728,5616,0.08291991495393337,13215,5439,0.411577752553916,0.968482905982906,4.96355734062885,1.7334644201969616,-2.861843220127394,-11.250814675307694
ALL,reached_12bps_within_30m,True,67728,5616,0.08291991495393337,13383,5530,0.41321078980796533,0.9846866096866097,4.983251490761019,1.679714955089567,-2.841471213638169,-11.250814675307694
ALL,reached_20bps_within_30m,True,67728,5616,0.08291991495393337,7612,5173,0.679584866001051,0.9211182336182336,8.195677315619513,9.93184858466891,2.2985076968383265,-11.250814675307694
ALL,reached_20bps_within_60m,True,67728,5616,0.08291991495393337,7700,5235,0.6798701298701298,0.9321581196581197,8.199117549117549,9.948016538022634,2.3769186527355295,-11.250814675307694
ALL,volume_zscore_le,-0.5,67728,5616,0.08291991495393337,25313,2139,0.08450203452771303,0.38087606837606836,1.0190800916119922,-11.050977763250508,-11.406547067639268,-11.250814675307694
ALL,volume_zscore_le,-0.25,67728,5616,0.08291991495393337,40803,3412,0.08362130235521897,0.6075498575498576,1.008458612164222,-10.941986628695162,-11.25114412386168,-11.250814675307694
ALL,volume_zscore_le,0.0,67728,5616,0.08291991495393337,47094,3896,0.08272816069987685,0.6937321937321937,0.9976874764745832,-10.911218249015539,-11.248396655619297,-11.250814675307694
ALL,volume_zscore_le,0.25,67728,5616,0.08291991495393337,51103,4279,0.08373285325714733,0.7619301994301995,1.0098038969729477,-10.928442322729861,-11.243996271122732,-11.250814675307694
ALL,volume_zscore_le,0.5,67728,5616,0.08291991495393337,53765,4473,0.08319538733376731,0.7964743589743589,1.0033221498115017,-10.943934167933199,-11.245744045957709,-11.250814675307694
ALL,nt_ratio_entry_vs_pre30_ge,1.0,67728,5616,0.08291991495393337,20362,1794,0.08810529417542481,0.3194444444444444,1.0625347870215762,-11.05201268431051,-11.291756685804588,-11.250814675307694
ALL,nt_ratio_entry_vs_pre30_ge,1.5,67728,5616,0.08291991495393337,13610,1141,0.08383541513592946,0.20316951566951566,1.011040775699115,-11.240957005345976,-11.380232944517793,-11.250814675307694
ALL,nt_ratio_entry_vs_pre30_ge,2.0,67728,5616,0.08291991495393337,9306,771,0.08284977433913604,0.1372863247863248,0.9991541161753928,-11.140869723283274,-11.28566472057075,-11.250814675307694
ALL,nt_ratio_entry_vs_pre30_ge,3.0,67728,5616,0.08291991495393337,5311,411,0.07738655620410469,0.07318376068376069,0.9332686393503566,-11.157927036656416,-11.25642997625275,-11.250814675307694
ALL,entry_imb_long_bid_ge,-0.2,67728,5616,0.08291991495393337,8245,706,0.08562765312310491,0.1257122507122507,1.0326548594589833,-10.180039409935253,-10.460541718555055,-11.250814675307694
ALL,entry_imb_long_bid_ge,0.0,67728,5616,0.08291991495393337,7349,638,0.08681453258946796,0.1136039886039886,1.0469684229379428,-10.165815082849832,-10.485859404212162,-11.250814675307694
